length	Evalue	attribute
7.4 	54	other
7.4 	38	other
5.7 	39	other
186.0 	290	nifK
8.8 	44	other
8.8 	75	other
11.0 	46	other
5.6 	42	other
7.1 	36	other
7.1 	42	other
7.1 	54	other
6.6 	49	other
58.2 	273	other
8.3 	156	other
9.9 	55	other
9.9 	35	other
8.4 	123	other
8.6 	156	other
11.0 	46	other
58.4 	274	other
8.6 	123	other
5.5 	35	other
5.6 	42	other
9.9 	55	other
9.9 	35	other
6.6 	49	other
7.8 	55	other
58.2 	274	other
7.1 	36	other
7.1 	42	other
6.6 	49	other
10.9 	46	other
8.7 	123	other
7.7 	55	other
5.6 	42	other
9.1 	171	other
9.7 	48	other
9.9 	55	other
9.9 	35	other
5.5 	34	other
58.4 	274	other
11.1 	49	other
7.1 	36	other
7.1 	42	other
8.6 	156	other
10.9 	46	other
6.0 	48	other
6.0 	35	other
5.6 	42	other
8.4 	123	other
6.6 	49	other
9.9 	55	other
9.9 	35	other
58.4 	274	other
9.4 	123	other
5.6 	42	other
6.6 	49	other
10.9 	46	other
7.6 	56	other
9.1 	171	other
7.0 	36	other
7.0 	42	other
7.6 	55	other
10.9 	46	other
6.6 	49	other
8.4 	123	other
5.6 	42	other
7.0 	36	other
7.0 	42	other
8.0 	73	other
9.7 	48	other
58.2 	273	other
6.3 	37	other
9.8 	55	other
9.8 	35	other
5.1 	35	other
8.5 	123	other
7.1 	36	other
7.1 	42	other
5.6 	42	other
11.0 	46	other
9.9 	55	other
9.9 	35	other
8.5 	156	other
9.7 	49	other
6.6 	49	other
58.2 	273	other
7.7 	54	other
5.2 	37	other
7.8 	44	other
7.8 	86	other
57.3 	262	other
5.7 	39	other
6.4 	38	other
6.4 	26	other
6.4 	36	other
5.6 	70	other
6.4 	31	other
32.6 	50	nifK
61.8 	92	nifK
77.2 	129	nifK
7.1 	36	other
7.1 	42	other
8.5 	156	other
58.4 	274	other
8.8 	123	other
10.9 	46	other
6.6 	49	other
5.6 	42	other
7.8 	54	other
9.9 	55	other
9.9 	35	other
54.9 	268	other
5.4 	40	other
5.4 	67	other
6.6 	34	other
6.6 	48	other
5.4 	39	other
6.1 	46	other
5.1 	32	other
10.4 	43	other
7.4 	46	other
7.4 	52	other
6.2 	51	other
5.2 	35	other
189.5 	291	nifK
7.3 	45	other
